id,x,y
1,508784.263,202753.474
2,507059.541,199081.484
3,504528.093,197634.943
4,502302.645,193072.773
5,501579.374,188427.15
6,502831.189,184476.979
7,504277.73,179775.719
8,501690.646,171736.286
9,502107.918,166951.572
10,506141.543,159830.137
11,510954.076,157632.506
12,516378.606,158745.231
13,517713.875,156491.964
14,530871.84,153153.791
15,541081.085,154016.152
16,549565.607,157076.144
17,550316.696,164670.487
18,555741.226,171708.468
19,557549.403,179914.809
20,558968.127,187425.698
21,553042.87,195854.584
22,547006.341,199665.665
23,544252.349,200917.479
24,539662.361,199665.665
25,531150.021,200806.207
26,522693.316,200138.572
27,519494.234,203254.2
28,508784.263,202753.474
